PublicTransitSystem 5287
WinterSportPlayer 5239
Horse 5170
Stream 5053
ArtistDiscography 5050
Enzyme 5009
Anime 4992
FootballMatch 4977
GridironFootballPlayer 4912
Biomolecule 4739
MartialArtist 4724
Star 4672
Saint 4616
VolleyballPlayer 4589
SportsTeam 4580
Planet 4574
Manga 4564
HandballPlayer 4463
SportsManager 4363
Criminal 4343
Country 4327
GaelicGamesPlayer 4291
Airline 4261
Locomotive 4189
PeriodicalLiterature 4032
Lake 3954
FigureSkater 3931
GolfPlayer 3892
Actor 3865
Bank 3855
RecordLabel 3817
Architect 3801
GivenName 3768
Diocese 3732
NationalFootballLeagueSeason 3720
RacingDriver 3680
Wrestler 3589
ComicsCharacter 3580
Fish 3578
Comic 3572
Broadcaster 3514
Convention 3486
SupremeCourtOfTheUnitedStatesCase 3353
ComicsCreator 3280
SpaceMission 3272
Skier 3264
Play 3149
HorseRace 3138
ShoppingMall 3114
Bacteria 2961
Religious 2900
Legislature 2855
Gymnast 2852
Protein 2831
BadmintonPlayer 2756
ChessPlayer 2726
BasketballTeam 2723
HockeyTeam 2703
Philosopher 2639
SoapCharacter 2551
GolfTournament 2536
RugbyClub 2533
Skater 2486
BeautyQueen 2486
Gene 2480
SoccerLeague 2456
Lighthouse 2434
Painter 2412
Castle 2309
Curler 2289
CultivatedVariety 2252
SiteOfSpecialScientificInterest 2240
Document 2172
Publisher 2170
TradeUnion 2124
Crater 2113
Crustacean 2100
Congressman 2092
Olympics 2024
AnatomicalStructure 1991
Train 1985
Model 1972
RailwayStation 1940
Coach 1922
Game 1902
Galaxy 1883
Year 1830
Journalist 1818
InformationAppliance 1804
BusCompany 1688
SportsLeague 1661
Restaurant 1640
Economist 1631
Library 1630
Mineral 1629
GrandPrix 1627
Musical 1624
RadioProgram 1591
Glacier 1591
Hotel 1581
MixedMartialArtsEvent 1574
Prison 1570
WrestlingEvent 1568
Monument 1545
Comedian 1526
HistoricalEvent 1520
Cardinal 1484
Mayor 1478
Mammal 1475
MotorcycleRider 1473
Holiday 1453
Medician 1396
President 1394
Arachnid 1374
MotorsportRacer 1358
MusicGenre 1348
NascarDriver 1301
Governor 1287
Motorcycle 1269
MountainPass 1258
CyclingRace 1204
Race 1159
EurovisionSongContestEntry 1147
ProgrammingLanguage 1127
WomensTennisAssociationTournament 1123
BroadcastNetwork 1099
Earthquake 1024
CricketTeam 1022
WorldHeritageSite 1021
NaturalEvent 991
Historian 952
MemberOfParliament 928
DartsPlayer 900
Cartoon 891
Archbishop 886
RollerCoaster 879
Engineer 874
Jockey 844
MythologicalFigure 839
CyclingTeam 839
RugbyLeague 829
Colour 824
Theatre 820
FashionDesigner 815
Volcano 814
PrimeMinister 797
Chef 796
FormulaOneRacer 795
SpeedwayRider 790
SquashPlayer 784
SkiArea 783
AmusementParkAttraction 750
Cave 744
TableTennisPlayer 741
PokerPlayer 732
ScreenWriter 730
AdultActor 729
BusinessPerson 690
AustralianFootballTeam 690
ClassicalMusicComposition 688
Beverage 671
FilmFestival 660
Astronaut 659
UnitOfWork 597
SnookerPlayer 592
LegalCase 591
Case 591
WineRegion 572
Canal 561
FormerMunicipality 546
AmateurBoxer 541
HandballTeam 539
SumoWrestler 538
Brain 537
LawFirm 533
BasketballLeague 522
Priest 517
Outbreak 513
Name 510
Canoeist 499
Photographer 494
Tower 493
NetballPlayer 479
Entomologist 476
Grape 466
Asteroid 456
VoiceActor 452
BaseballLeague 452
LacrossePlayer 451
CombinationDrug 432
Currency 425
MusicFestival 418
BiologicalDatabase 417
RadioHost 414
MonoclonalAntibody 408
Surname 404
Sport 400
Fashion 400
Poem 391
Brewery 390
RoadTunnel 387
Pope 387
Winery 381
TopLevelDomain 377
Identifier 374
SolarEclipse 369
SportFacility 366
GolfCourse 363
ClericalAdministrativeRegion 354
ComicStrip 350
IceHockeyLeague 346
TopicalConcept 337
Bone 334
Senator 330
Artery 330
Rocket 329
Racecourse 325
Stadium 324
Nerve 324
Garden 322
College 320
Reptile 303
Cheese 302
Bodybuilder 300
ClassicalMusicArtist 297
Muscle 287
HollywoodCartoon 287
CanadianFootballTeam 283
Genre 278
RoadJunction 272
HorseTrainer 272
Ambassador 272
Rower 264
RailwayTunnel 261
VolleyballLeague 260
Poet 260
Archaea 259
BaseballSeason 257
PlayboyPlaymate 248
BeachVolleyballPlayer 242
Vein 240
CricketGround 238
TimeInterval 230
Presenter 229
Moss 206
Embryology 189
Ligament 181
ConcentrationCamp 160
Amphibian 160
Cinema 156
GreenAlga 149
VolleyballCoach 137
Tunnel 137
FormulaOneTeam 132
AmericanFootballLeague 125
SpeedwayTeam 124
FloweringPlant 124
Guitarist 123
Baronet 123
Single 120
NationalCollegiateAthleticAssociationAthlete 116
Vaccine 109
ComedyGroup 108
LaunchPad 106
Sea 104
FieldHockeyLeague 99
Bird 96
AcademicConference 93
Municipality 92
GovernmentalAdministrativeRegion 92
Judge 89
WaterRide 88
Constellation 88
TelevisionHost 87
YearInSpaceflight 77
Lymph 76
Database 69
HandballLeague 68
LacrosseLeague 67
HorseRider 62
RaceTrack 60
Fern 60
GolfLeague 45
ChristianPatriarch 45
Conifer 43
SnookerChamp 42
MedicalSpecialty 42
Chancellor 41
AmericanFootballTeam 41
PoloLeague 38
SoftballLeague 37
Bay 36
SpaceStation 35
SnookerWorldRanking 34
ResearchProject 33
BaseballTeam 33
Continent 32
TennisLeague 31
SpeedwayLeague 30
WaterwayTunnel 26
AnimangaCharacter 24
Instrumentalist 23
MotorcycleRacingLeague 20
Battery 19
SpaceShuttle 13
Novel 13
CricketLeague 12
Skyscraper 10
NationalFootballLeagueEvent 10
AmericanFootballCoach 10
MixedMartialArtsLeague 9
InlineHockeyLeague 9
CanadianFootballLeague 9
Project 6
AutoRacingLeague 5
BritishRoyalty 4
BoxingLeague 3
BowlingLeague 3
AustralianFootballLeague 3
VideogamesLeague 2
Ginkgo 2
Cycad 2
Gnetophytes 1
CurlingLeague 1
ClubMoss 1
